"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Blaze And The Monster Machines: Blaze Of Glory (Limited Edition Gift Set w/ Little Golden Book)","Nickelodeon",,"Out","2.0","LBX, 16:9",16.99,"NR","UNK","Family","1.78:1","032429262899",2017-02-28 00:00:00,298073,2017-02-28 00:00:00,"1"
"Business Of Amateurs","Kino Lorber",,"Out","2.0","LBX, 16:9",29.95,"NR","2016","Documentary","1.85:1","738329211851",2017-02-28 00:00:00,297769,2017-02-28 00:00:00,"1"
"Caillou: Things That Go","PBS",2017-07-11 00:00:00,"Pending","2.0","4:3",12.99,"NR","UNK","Family","1.33:1","841887033718",2017-07-11 00:00:00,299290,2017-02-28 00:00:00,"0"
"Cancerpants (Blu-ray/ On Demand DVD-R)","Indie Rights",,"Out","2.0","LBX, 16:9, BLU-RAY",14.95,"NR","2011","Documentary","1.85:1","889290442901",2016-01-05 00:00:00,299311,2017-02-28 00:00:00,"0"
"Cancerpants (On Demand DVD-R)","Indie Rights",,"Out","2.0","LBX, 16:9",14.95,"NR","2011","Documentary","1.85:1","889290434296",2016-01-05 00:00:00,299264,2017-02-28 00:00:00,"0"
"Captain Phillips (Blu-ray) / Zero Dark Thirty (Blu-ray)","Sony Pictures",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",19.99,"VAR","VAR","VAR","VAR","043396496019",2017-02-28 00:00:00,297821,2017-02-28 00:00:00,"1"
"Chronic","Lions Gate",,"Out","5.1","LBX, 16:9",19.98,"R","2015","Drama","1.85:1","031398259589",2017-02-28 00:00:00,297925,2017-02-28 00:00:00,"1"
"Come Hell Or High Water: The Battle For Turkey Creek","Bullfrog Films",,"Out","2.0","LBX, 16:9",24.98,"NR","2013","Documentary","1.78:1","761326259021",2017-02-28 00:00:00,298867,2017-02-28 00:00:00,"1"
"Comet Lucifer: Complete Collection","Sentai FilmWorks",,"Out","SUB","LBX, 16:9",49.98,"MA17","2015","Anime","2.35:1","816726021706",2017-02-28 00:00:00,296572,2017-02-28 00:00:00,"1"
"Contract To Kill","Lions Gate",,"Out","5.1","LBX, 16:9",19.98,"R","2016","Action/Adventure","1.85:1","031398260523",2017-02-28 00:00:00,297831,2017-02-28 00:00:00,"1"
"Contract To Kill (Blu-ray w/ Digital Copy)","Lions Gate",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",19.99,"R","2016","Action/Adventure","1.85:1","031398260554",2017-02-28 00:00:00,297839,2017-02-28 00:00:00,"1"
"Creature Below","Breaking Glass Pictures",,"Out","2.0","LBX, 16:9",24.99,"NR","2016","SciFi","1.85:1","855114005928",2017-02-28 00:00:00,297506,2017-02-28 00:00:00,"1"
"Creepy","KimStim",,"Out","SUB","LBX, 16:9",29.99,"NR","2016","Foreign","2.35:1","698452212333",2017-02-28 00:00:00,297973,2017-02-28 00:00:00,"1"
"Criminal Minds: The 1st - 4th Seasons","Paramount",,"Out","5.1","LBX, 16:9",64.99,"NR","VAR","TV Classics","1.78:1","032429269805",2017-02-28 00:00:00,298985,2017-02-28 00:00:00,"1"
